news,schoolwork,commercialserv,transportation,search,game,video,music,radio,ebook,email,messanger,sns,humannetwork,purchase,sell,lifemanagement,q47,q48,q49,q50,q51,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q91,q96,q112,q115,q118,q119,q142,q143,q144,q145,q146,q147,q148,q149,q150,q151,q152,q153,q154,q155,q156,q157,q158,sex
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,2,1,2,1,1,3,3,2,3,2,2,3,3,2,2,3,2
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,2,2,3,3,4,2,4,3,3,2,2,4,3,1,2
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,2,2,3,3,4,2,4,3,3,2,2,4,3,1,2
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,100,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,3,2,1,1,2,3,3,2,1,3,4,4,3,2,3,3,7,1
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,3,2,3,3,2,2,3,3,2,4,3,3,2,2,3,3,1,1
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,4,2,3,3,2,2,3,3,2,4,4,4,4,3,4,4,1,2
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,3,3,2,1,1,1,1,1,3,2,3,3,2,3,3,3,3,3,6,2
0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,1,0,100,2,1,2,2,2,2,2,1,2,1,1,2,2,1,3,1,1,2,1,1,1,1,1,3,2,2,2,3,2,2,3,3,2,1,1
0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,9,2,20,80,2,2,2,1,2,3,2,1,2,2,2,2,2,2,0,3,1,3,3,2,1,2,3,3,2,3,3,4,3,2,3,4,3,1,2
0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,3,2,3,3,3,3,2,3,3,3,2,2,3,3,2,3,2,1
0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,3,3,2,3,3,3,3,2,3,3,3,2,2,3,3,2,3,2,1
0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,8,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,3,4,3,2,2,4,3,4,4,3,3,2,3,3,4,1,2
0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,4,0,7,2,30,70,3,2,2,1,2,2,1,2,2,2,2,3,2,2,0,2,3,3,4,4,3,4,3,3,4,4,4,3,3,4,4,3,4,1,2
0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,4,0,7,2,30,70,3,2,2,1,2,2,1,2,2,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,4,4,3,3,4,4,3,4,1,2
0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,1,0,100,2,2,1,2,2,1,2,3,2,2,2,3,2,2,0,3,2,3,2,2,1,2,1,3,2,2,3,2,4,3,2,2,3,1,2
0,0,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,2,1,0,100,1,2,2,2,4,1,2,3,2,3,2,1,2,2,0,2,2,2,3,2,1,2,1,3,3,3,4,3,2,3,3,3,3,1,2
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,2,0,100,2,2,2,3,2,2,1,2,2,2,1,2,2,1,3,3,3,2,2,1,1,1,2,4,3,3,3,4,4,3,2,2,3,7,2
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,4,70,30,3,3,3,3,3,3,3,2,2,3,2,1,2,2,0,4,2,2,2,3,1,2,3,1,1,1,1,1,3,1,1,2,3,2,2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,0,100,2,2,1,3,2,1,2,3,2,2,2,2,2,2,0,2,1,3,2,2,2,2,2,4,3,4,4,4,4,4,4,3,4,2,1
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,2,30,70,3,2,1,1,3,1,2,1,1,1,1,3,2,2,0,1,3,2,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,1,2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,2,30,70,3,2,2,2,1,2,2,3,2,2,2,3,2,2,0,3,1,2,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,1,2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,2,0,100,2,2,2,2,1,1,1,2,1,1,2,2,2,2,0,2,2,3,2,2,3,2,3,3,2,2,3,2,3,2,2,3,3,1,2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,2,0,100,2,2,2,2,1,1,1,2,1,1,2,2,2,2,0,3,2,3,2,2,3,2,3,3,2,2,3,2,3,2,2,3,3,1,2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,2,0,100,2,2,2,2,1,1,1,2,2,2,2,2,2,2,0,2,2,2,3,2,2,3,3,3,3,2,4,3,4,3,2,2,3,7,2
0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,8,1,30,70,2,2,2,3,2,1,2,1,2,1,1,2,2,2,0,1,3,3,2,2,3,2,2,4,3,2,4,2,3,3,2,4,3,1,2
0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,0,7,1,10,90,1,2,2,1,1,1,2,2,1,1,1,2,2,2,0,1,1,3,2,2,1,2,2,3,4,3,3,4,4,4,3,4,3,2,2
0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,8,1,10,90,1,2,2,1,1,2,1,2,2,1,2,2,2,2,0,3,1,3,2,1,1,2,3,2,2,3,3,4,4,3,3,4,3,2,2
0,0,0,0,0,0,3,0,0,5,0,5,6,0,0,0,0,7,1,10,90,2,2,2,1,1,1,1,3,2,1,1,2,2,2,0,1,1,3,2,2,1,1,2,3,4,3,4,4,4,3,4,4,3,1,2
0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,5,20,80,2,3,2,2,3,2,2,2,2,2,2,4,1,1,0,1,4,2,1,2,1,1,3,1,1,1,2,2,3,1,1,1,4,4,2
0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,1,0,100,2,2,2,2,2,2,3,2,1,2,2,2,2,1,3,4,1,1,3,2,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1
0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,6,5,10,90,3,2,1,2,2,2,2,2,2,1,2,3,2,2,0,4,4,1,3,1,2,2,1,3,1,1,1,2,3,1,1,3,2,1,1
0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,6,5,10,90,3,2,2,2,2,2,2,2,2,2,2,3,2,2,0,4,4,1,3,1,2,2,1,3,1,1,1,2,3,1,1,3,2,1,1
0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,8,3,0,100,1,2,2,1,1,2,2,2,2,3,3,4,2,1,0,2,2,1,1,3,1,1,1,1,2,1,2,3,4,1,1,3,2,1,2
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,5,10,90,2,2,2,1,3,3,3,3,2,2,1,5,2,1,0,2,3,1,2,3,3,1,1,3,1,1,3,1,2,3,1,3,1,2,2
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,5,10,90,2,2,2,1,3,3,3,3,2,2,1,5,2,1,0,2,3,1,2,3,3,1,1,3,1,1,3,1,2,3,1,3,1,2,2
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,4,0,100,3,4,4,4,2,1,1,1,1,1,2,5,1,2,3,3,1,1,1,3,4,1,1,3,1,2,1,2,3,1,3,1,1,3,1
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,2,50,50,2,3,3,2,2,3,3,2,2,2,4,4,2,2,0,2,3,1,4,1,1,1,2,4,1,1,1,1,1,3,1,2,1,1,2
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,4,0,100,1,3,3,2,3,2,2,2,2,2,1,5,2,2,0,1,4,1,2,1,4,3,1,1,2,1,1,4,2,1,2,1,3,3,1
0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,4,30,70,3,1,3,3,2,1,1,1,1,1,1,4,1,2,0,3,3,1,1,3,3,2,1,1,3,1,4,3,1,1,1,3,3,1,2
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8,2,0,100,2,3,3,2,2,1,2,2,2,1,1,2,2,2,0,2,2,4,4,3,3,3,4,4,3,2,4,3,4,3,2,3,3,1,2
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,2,60,40,1,2,2,2,3,4,3,3,2,3,2,3,1,2,0,3,3,1,1,2,1,1,2,2,1,4,3,1,1,3,2,1,1,2,2
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,1,10,90,3,2,1,1,1,1,1,2,1,1,1,3,1,1,0,3,3,1,1,1,1,3,1,1,3,3,3,3,2,1,1,2,2,2,1
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,3,0,100,4,2,2,2,1,2,2,2,2,2,2,5,2,2,0,1,1,3,3,2,1,1,1,1,1,3,1,3,2,3,3,1,3,1,2
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,4,80,20,1,3,4,4,3,3,4,2,3,4,3,4,1,2,0,3,2,1,3,2,1,1,1,3,2,1,1,1,3,1,3,1,3,1,1
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,5,45,55,3,2,2,1,2,3,2,2,1,2,2,5,1,2,0,3,4,3,1,1,1,1,3,1,1,1,2,1,3,1,1,1,2,1,2
0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,6,5,20,80,4,2,2,2,2,1,1,2,2,1,2,3,2,1,0,1,1,3,1,3,2,2,1,1,1,2,1,1,2,3,2,1,1,3,1
0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,5,3,0,100,2,3,2,3,3,3,2,3,3,3,3,3,2,2,0,3,3,2,1,1,2,2,3,2,2,3,1,2,3,1,3,1,4,1,1
0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,3,2,0,100,3,2,2,1,1,2,2,1,2,1,1,5,2,2,0,3,2,3,4,2,3,4,2,3,2,2,3,4,4,3,2,2,3,1,2
0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,8,4,0,100,3,2,3,2,2,1,1,1,1,1,1,3,2,2,0,2,4,1,1,4,1,1,4,1,2,1,1,2,2,1,3,1,3,1,2
0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,4,80,20,2,1,2,4,2,4,3,4,2,3,2,4,2,2,0,1,1,2,1,3,1,4,2,1,3,3,3,3,2,1,1,2,1,3,1
0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,5,95,2,2,1,2,2,1,2,2,1,2,2,3,2,1,0,2,2,2,1,2,1,3,3,1,3,2,2,1,1,4,2,3,1,1,2
0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,5,5,10,90,1,3,3,3,2,1,2,1,2,2,2,4,2,2,3,3,4,4,3,1,1,3,2,1,1,1,1,2,1,1,1,3,2,2,2
0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,5,5,10,90,1,3,3,3,2,1,2,1,2,2,2,4,2,1,0,3,4,4,3,1,1,3,2,1,1,1,1,2,1,1,1,3,2,2,2
0,0,0,0,0,0,2,6,0,0,0,5,0,0,0,0,6,12,2,0,100,1,2,1,1,1,2,1,1,1,1,1,1,2,2,0,1,1,3,2,2,2,3,3,4,3,3,4,4,4,4,3,3,3,1,2
0,0,0,0,0,0,2,6,0,0,0,5,0,0,0,0,6,12,2,0,100,1,2,1,1,1,2,1,1,1,1,1,1,2,2,0,1,3,3,2,2,2,3,3,4,3,3,4,4,4,4,3,3,3,1,2
0,0,0,0,0,0,5,6,0,0,0,5,5,0,0,0,0,3,1,50,50,3,2,2,1,2,2,2,1,2,3,2,3,2,2,0,2,2,3,2,4,4,3,3,4,3,3,4,3,3,4,4,3,3,1,2
0,0,0,0,0,0,5,4,0,0,3,7,5,0,0,0,0,11,1,20,80,2,2,2,1,2,3,2,1,2,2,2,3,2,2,0,1,3,3,2,3,3,2,3,3,4,3,3,4,4,3,3,4,3,3,1
0,0,0,0,0,0,6,7,0,5,0,7,7,0,0,0,0,10,3,10,90,3,3,3,4,3,2,2,1,2,3,2,4,2,2,0,1,1,3,3,2,1,1,1,4,3,4,4,4,4,4,3,4,4,1,2
0,0,0,0,0,0,3,4,0,4,0,4,5,0,4,0,0,10,2,10,90,2,2,3,3,3,2,2,1,1,1,1,4,1,1,0,2,2,3,2,2,1,1,2,3,2,3,4,4,2,3,3,4,3,2,2
0,0,0,0,0,0,3,4,0,4,0,4,5,0,4,0,0,10,2,10,90,2,2,3,3,3,2,2,1,1,1,1,4,1,1,0,4,2,3,2,2,1,1,2,3,2,3,4,4,2,3,3,4,3,2,2
0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,8,5,10,90,2,4,3,3,4,2,4,3,2,3,1,4,2,2,0,3,2,2,1,2,3,3,3,1,1,3,3,4,2,3,1,4,2,2,2
0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,6,3,20,80,3,2,3,3,2,2,3,2,2,2,1,4,1,2,3,1,3,1,1,2,3,3,1,1,2,1,1,1,1,2,1,1,1,2,2
0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,5,5,10,90,4,2,2,3,2,2,1,1,1,3,2,5,1,2,0,3,2,1,1,4,1,3,2,1,2,2,1,1,1,1,4,2,1,1,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,100,1,2,3,2,4,2,3,3,2,3,3,2,1,2,0,2,2,3,1,3,1,1,3,1,1,2,2,2,1,3,2,1,2,3,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,100,1,2,3,2,4,2,3,3,2,3,3,2,1,2,0,2,2,3,1,3,1,1,3,1,1,2,2,2,1,3,2,1,2,3,2
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,40,60,3,3,3,2,2,3,3,3,3,3,4,1,2,2,0,4,2,1,1,1,2,2,3,3,1,3,2,1,3,1,1,1,1,1,2
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,40,60,1,4,3,2,3,3,3,2,3,3,3,4,1,1,0,3,2,2,2,3,1,1,3,3,3,1,4,1,1,3,1,2,2,1,2
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,40,60,1,2,3,2,2,3,3,2,1,1,2,4,2,1,3,3,3,4,1,1,1,1,1,1,3,4,4,2,1,3,2,1,2,1,2
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,80,20,2,2,1,1,2,2,2,1,1,2,2,2,2,2,0,1,3,1,2,1,2,2,1,3,2,4,2,2,3,1,1,1,1,1,2
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,100,3,1,1,1,1,1,1,1,2,1,2,5,2,2,0,3,1,1,1,3,1,3,1,1,1,3,3,1,3,1,4,1,2,1,1
